edge_id,source,target,relation,symmetric,support_count,fact_status,retrieval_status,scope_policy
229bc07ee9ecd4d07b8840a8,android.accounts.AccountManager,android.app.Activity,ACCEPTS,0,6,binary_declaration,unvalidated,Read supporting declarations; no functional equivalence implied.
a5d50ffd36884de2aae34d57,android.accounts.AccountManager,android.content.Context,ACCEPTS,0,1,binary_declaration,unvalidated,Read supporting declarations; no functional equivalence implied.
05ffd387bf6d00db3b046a43,android.accounts.AccountManager,android.content.Intent,RETURNS,0,1,binary_declaration,unvalidated,Read supporting declarations; no functional equivalence implied.
3c80a036b39e266474246cbb,android.app.Activity,android.content.Context,ACCEPTS,0,2,binary_declaration,unvalidated,Read supporting declarations; no functional equivalence implied.
3f2ac9ea3b9b4ce4526956fb,android.app.Activity,android.content.Intent,ACCEPTS,0,26,binary_declaration,unvalidated,Read supporting declarations; no functional equivalence implied.
0f0941b995f3cbeefcb52b5a,android.app.Activity,android.content.Intent,RETURNS,0,2,binary_declaration,unvalidated,Read supporting declarations; no functional equivalence implied.
c7da7288553c92bc2fa81c8a,android.app.Activity,android.content.SharedPreferences,RETURNS,0,1,binary_declaration,unvalidated,Read supporting declarations; no functional equivalence implied.
485e60c4e3dd5423cdb5f5c4,android.app.Activity,android.database.Cursor,ACCEPTS,0,2,binary_declaration,unvalidated,Read supporting declarations; no functional equivalence implied.
8ad09884a684aee68a966c2a,android.app.Activity,android.database.Cursor,RETURNS,0,1,binary_declaration,unvalidated,Read supporting declarations; no functional equivalence implied.
c0e083d29222483be743b5b1,android.app.Service,android.content.Intent,ACCEPTS,0,6,binary_declaration,unvalidated,Read supporting declarations; no functional equivalence implied.
2dd308e0f8ebdd35d01fc135,android.app.admin.DeviceAdminReceiver,android.content.Context,ACCEPTS,0,10,binary_declaration,unvalidated,Read supporting declarations; no functional equivalence implied.
ef4aea3f0553cd64ea097443,android.app.admin.DeviceAdminReceiver,android.content.Intent,ACCEPTS,0,8,binary_declaration,unvalidated,Read supporting declarations; no functional equivalence implied.
ef7444d3f91d616ca44407fd,android.app.backup.BackupAgent,android.app.backup.BackupManager,COLLABORATES_WITH,1,1,model_reviewed_not_human_verified,unvalidated,Apply only within at least one cited operation/condition; not a universal relation.
1171c56761d1756eefaeff78,android.app.backup.BackupAgent,java.io.File,ACCEPTS,0,2,binary_declaration,unvalidated,Read supporting declarations; no functional equivalence implied.
d8f815dbf42d09f12dc27146,android.app.backup.BackupAgentHelper,android.app.backup.BackupAgent,SUBTYPE_OF,0,1,binary_declaration,unvalidated,Read supporting declarations; no functional equivalence implied.
