node_id,kind,ku_count,artifact,identity_status,evidence_file
android.accounts.AccountManager,class,1,tmp\authoritative_artifacts\android\android-4.1.1.4.jar,input_resolved_binary_present,declarations/da06f826503cedf9a637.txt
android.app.Activity,class,6,tmp\authoritative_artifacts\android\android-4.1.1.4.jar,input_resolved_binary_present,declarations/975da140eee49191272e.txt
android.app.AlarmManager,class,1,tmp\authoritative_artifacts\android\android-4.1.1.4.jar,input_resolved_binary_present,declarations/b1fa36903dec6b500629.txt
android.app.Service,class,1,tmp\authoritative_artifacts\android\android-4.1.1.4.jar,input_resolved_binary_present,declarations/ec0133e240b0d7b4e41b.txt
android.app.admin.DeviceAdminReceiver,class,2,tmp\authoritative_artifacts\android\android-4.1.1.4.jar,input_resolved_binary_present,declarations/933619b79144b564d391.txt
android.app.backup.BackupAgent,class,3,tmp\authoritative_artifacts\android\android-4.1.1.4.jar,input_resolved_binary_present,declarations/0b56525fce02cb4e2cf6.txt
android.app.backup.BackupAgentHelper,class,5,tmp\authoritative_artifacts\android\android-4.1.1.4.jar,input_resolved_binary_present,declarations/77f4cafc93b0b9ff9dda.txt
android.app.backup.BackupManager,class,1,tmp\authoritative_artifacts\android\android-4.1.1.4.jar,input_resolved_binary_present,declarations/83330999aa18a55ba0e5.txt
android.app.backup.FileBackupHelper,class,1,tmp\authoritative_artifacts\android\android-4.1.1.4.jar,input_resolved_binary_present,declarations/9352540ae8c17ade6ff8.txt
android.content.AbstractThreadedSyncAdapter,class,1,tmp\authoritative_artifacts\android\android-4.1.1.4.jar,input_resolved_binary_present,declarations/d407dc7520b6d6a4f88f.txt
android.content.Context,class,7,tmp\authoritative_artifacts\android\android-4.1.1.4.jar,input_resolved_binary_present,declarations/80e948f43db8a9452a32.txt
android.content.Intent,class,7,tmp\authoritative_artifacts\android\android-4.1.1.4.jar,input_resolved_binary_present,declarations/78a44fd45b49b8e662fb.txt
android.content.SharedPreferences,interface,7,tmp\authoritative_artifacts\android\android-4.1.1.4.jar,input_resolved_binary_present,declarations/fcf85c0bddd17712fb03.txt
android.content.SharedPreferences.Editor,interface,2,tmp\authoritative_artifacts\android\android-4.1.1.4.jar,input_resolved_binary_present,declarations/165e5c0f2dfffc329c72.txt
android.content.pm.PackageInfo,class,1,tmp\authoritative_artifacts\android\android-4.1.1.4.jar,input_resolved_binary_present,declarations/b03a884240fbbdf6747f.txt
android.database.Cursor,interface,8,tmp\authoritative_artifacts\android\android-4.1.1.4.jar,input_resolved_binary_present,declarations/c33c3bf4a2c536ed2b1c.txt
android.database.sqlite.SQLiteDatabase,class,9,tmp\authoritative_artifacts\android\android-4.1.1.4.jar,input_resolved_binary_present,declarations/51bd3ec51afdab7c95d3.txt
android.database.sqlite.SQLiteOpenHelper,class,4,tmp\authoritative_artifacts\android\android-4.1.1.4.jar,input_resolved_binary_present,declarations/d414aadd8bde43b4311c.txt
android.os.Environment,class,1,tmp\authoritative_artifacts\android\android-4.1.1.4.jar,input_resolved_binary_present,declarations/23718646b89628918cf2.txt
java.io.File,class,6,tmp\authoritative_artifacts\jdk8\extracted\jdk8u504-b01\jre\lib\rt.jar,input_resolved_binary_present,declarations/6f16374d950cc2dbbd28.txt
java.io.FileInputStream,class,3,tmp\authoritative_artifacts\jdk8\extracted\jdk8u504-b01\jre\lib\rt.jar,input_resolved_binary_present,declarations/ca607295c5b2e2018634.txt
java.io.FileOutputStream,class,4,tmp\authoritative_artifacts\jdk8\extracted\jdk8u504-b01\jre\lib\rt.jar,input_resolved_binary_present,declarations/bbd566f853e6586e581e.txt
java.io.InputStream,class,2,tmp\authoritative_artifacts\jdk8\extracted\jdk8u504-b01\jre\lib\rt.jar,input_resolved_binary_present,declarations/46cc3b17c065b23084ef.txt
java.io.OutputStream,class,2,tmp\authoritative_artifacts\jdk8\extracted\jdk8u504-b01\jre\lib\rt.jar,input_resolved_binary_present,declarations/63992b5786e9de170a4d.txt
