node_id,kind,ku_count,artifact,identity_status,evidence_file
android.animation.Animator,class,6,tmp\authoritative_artifacts\android\android-4.1.1.4.jar,input_resolved_binary_present,declarations/bb6ee9746b5efb4a7d16.txt
android.animation.Animator.AnimatorListener,interface,3,tmp\authoritative_artifacts\android\android-4.1.1.4.jar,input_resolved_binary_present,declarations/3db2276be2343ff03227.txt
android.animation.AnimatorListenerAdapter,class,3,tmp\authoritative_artifacts\android\android-4.1.1.4.jar,input_resolved_binary_present,declarations/b4dc17c282b290ac3023.txt
android.animation.AnimatorSet,class,2,tmp\authoritative_artifacts\android\android-4.1.1.4.jar,input_resolved_binary_present,declarations/a2de23fb31fef67739bb.txt
android.animation.ArgbEvaluator,class,2,tmp\authoritative_artifacts\android\android-4.1.1.4.jar,input_resolved_binary_present,declarations/bd10afec6426fde70ea4.txt
android.animation.FloatEvaluator,class,1,tmp\authoritative_artifacts\android\android-4.1.1.4.jar,input_resolved_binary_present,declarations/22d86b1bda795f844d77.txt
android.animation.IntEvaluator,class,1,tmp\authoritative_artifacts\android\android-4.1.1.4.jar,input_resolved_binary_present,declarations/48671ef14e5312622aa9.txt
android.animation.Keyframe,class,1,tmp\authoritative_artifacts\android\android-4.1.1.4.jar,input_resolved_binary_present,declarations/39499090ca83e475ceb8.txt
android.animation.ObjectAnimator,class,8,tmp\authoritative_artifacts\android\android-4.1.1.4.jar,input_resolved_binary_present,declarations/0f9b0b4587c249be4939.txt
android.animation.TypeEvaluator,interface,3,tmp\authoritative_artifacts\android\android-4.1.1.4.jar,input_resolved_binary_present,declarations/a28691382b7b6672184d.txt
android.animation.ValueAnimator,class,9,tmp\authoritative_artifacts\android\android-4.1.1.4.jar,input_resolved_binary_present,declarations/6ad59e041daff97cf9f6.txt
android.animation.ValueAnimator.AnimatorUpdateListener,interface,4,tmp\authoritative_artifacts\android\android-4.1.1.4.jar,input_resolved_binary_present,declarations/64e1553581d87be1fb94.txt
android.content.res.Resources,class,1,tmp\authoritative_artifacts\android\android-4.1.1.4.jar,input_resolved_binary_present,declarations/2e85005acbe963204d0e.txt
android.graphics.Bitmap,class,16,tmp\authoritative_artifacts\android\android-4.1.1.4.jar,input_resolved_binary_present,declarations/c0739f27ea70f7971ad1.txt
android.graphics.Canvas,class,10,tmp\authoritative_artifacts\android\android-4.1.1.4.jar,input_resolved_binary_present,declarations/fb3074a5dae0deaa0d96.txt
android.graphics.Paint,class,3,tmp\authoritative_artifacts\android\android-4.1.1.4.jar,input_resolved_binary_present,declarations/d50369eb9fad07121d9a.txt
android.graphics.Path,class,1,tmp\authoritative_artifacts\android\android-4.1.1.4.jar,input_resolved_binary_present,declarations/a4c7e98ffa5c4d5284d8.txt
android.graphics.drawable.BitmapDrawable,class,3,tmp\authoritative_artifacts\android\android-4.1.1.4.jar,input_resolved_binary_present,declarations/baabcaa92981ff34e6ef.txt
android.graphics.drawable.Drawable,class,8,tmp\authoritative_artifacts\android\android-4.1.1.4.jar,input_resolved_binary_present,declarations/8abeb3e38cd5e57047f3.txt
android.graphics.drawable.NinePatchDrawable,class,1,tmp\authoritative_artifacts\android\android-4.1.1.4.jar,input_resolved_binary_present,declarations/ea1e8959f9b9174235bb.txt
android.graphics.drawable.ShapeDrawable,class,1,tmp\authoritative_artifacts\android\android-4.1.1.4.jar,input_resolved_binary_present,declarations/a0e57350fc312d633da5.txt
android.opengl.GLES20,class,1,tmp\authoritative_artifacts\android\android-4.1.1.4.jar,input_resolved_binary_present,declarations/7a7e328ad87dcabda7ef.txt
android.opengl.GLSurfaceView,class,2,tmp\authoritative_artifacts\android\android-4.1.1.4.jar,input_resolved_binary_present,declarations/b4c60b31ceafa5605ddc.txt
android.opengl.GLSurfaceView.Renderer,interface,3,tmp\authoritative_artifacts\android\android-4.1.1.4.jar,input_resolved_binary_present,declarations/78592089f40af4950350.txt
android.opengl.GLU,class,1,tmp\authoritative_artifacts\android\android-4.1.1.4.jar,input_resolved_binary_present,declarations/838b9dec7ebf32106f2b.txt
android.view.Surface,class,1,tmp\authoritative_artifacts\android\android-4.1.1.4.jar,input_resolved_binary_present,declarations/20dffe800e36dbedf23d.txt
android.view.SurfaceHolder,interface,1,tmp\authoritative_artifacts\android\android-4.1.1.4.jar,input_resolved_binary_present,declarations/02cdbe07754f4969eb1a.txt
android.view.SurfaceHolder.Callback,interface,2,tmp\authoritative_artifacts\android\android-4.1.1.4.jar,input_resolved_binary_present,declarations/075af3ed4b18bd83a839.txt
android.view.SurfaceView,class,2,tmp\authoritative_artifacts\android\android-4.1.1.4.jar,input_resolved_binary_present,declarations/d451f0a3ee3842521ac0.txt
android.view.View,class,178,tmp\authoritative_artifacts\android\android-4.1.1.4.jar,input_resolved_binary_present,declarations/902b2f738c5a9733681b.txt
android.view.animation.AccelerateDecelerateInterpolator,class,1,tmp\authoritative_artifacts\android\android-4.1.1.4.jar,input_resolved_binary_present,declarations/564b6e6369d92d567cef.txt
android.view.animation.AccelerateInterpolator,class,4,tmp\authoritative_artifacts\android\android-4.1.1.4.jar,input_resolved_binary_present,declarations/a9f0ed32ae9365c239b5.txt
android.view.animation.AlphaAnimation,class,4,tmp\authoritative_artifacts\android\android-4.1.1.4.jar,input_resolved_binary_present,declarations/34382b4f974b8aa70f46.txt
android.view.animation.DecelerateInterpolator,class,1,tmp\authoritative_artifacts\android\android-4.1.1.4.jar,input_resolved_binary_present,declarations/23f9e7953d3c27c32acc.txt
android.view.animation.LinearInterpolator,class,2,tmp\authoritative_artifacts\android\android-4.1.1.4.jar,input_resolved_binary_present,declarations/eb2ee8dbf8b48def69e2.txt
android.view.animation.OvershootInterpolator,class,1,tmp\authoritative_artifacts\android\android-4.1.1.4.jar,input_resolved_binary_present,declarations/76364e35f2f9533f1b4d.txt
android.widget.Button,class,16,tmp\authoritative_artifacts\android\android-4.1.1.4.jar,input_resolved_binary_present,declarations/750121fd5b889cea093b.txt
android.widget.ImageView,class,34,tmp\authoritative_artifacts\android\android-4.1.1.4.jar,input_resolved_binary_present,declarations/19bd1e44187c4fcba793.txt
android.widget.LinearLayout,class,19,tmp\authoritative_artifacts\android\android-4.1.1.4.jar,input_resolved_binary_present,declarations/cb629aac497af7c01aaf.txt
android.widget.ListView,class,74,tmp\authoritative_artifacts\android\android-4.1.1.4.jar,input_resolved_binary_present,declarations/285da7472ce920dedc9d.txt
android.widget.TextView,class,67,tmp\authoritative_artifacts\android\android-4.1.1.4.jar,input_resolved_binary_present,declarations/d1509ef30186fa2549aa.txt
javax.microedition.khronos.opengles.GL10,interface,8,tmp\authoritative_artifacts\android\opengl-api-gl1.1-android-2.1_r1.jar,input_resolved_binary_present,declarations/37b2cc78a621529e4486.txt
javax.microedition.khronos.opengles.GL11,interface,1,tmp\authoritative_artifacts\android\opengl-api-gl1.1-android-2.1_r1.jar,input_resolved_binary_present,declarations/fd1ea97320aa0a06c889.txt
javax.microedition.khronos.opengles.GL11Ext,interface,1,tmp\authoritative_artifacts\android\opengl-api-gl1.1-android-2.1_r1.jar,input_resolved_binary_present,declarations/b8a09189eedd36436fb3.txt
