edge_id,source,target,relation,symmetric,support_count,fact_status,retrieval_status,scope_policy
fb8dd8b1456dd1304daa7828,java.lang.Iterable,java.util.Iterator,RETURNS,0,1,binary_declaration,unvalidated,Read supporting declarations; no functional equivalence implied.
f847e89fa83eaeed7c928cb4,java.lang.Object,java.lang.String,RETURNS,0,1,binary_declaration,unvalidated,Read supporting declarations; no functional equivalence implied.
7b4767a3059e07ca2bdba065,java.lang.String,java.lang.Comparable,SUBTYPE_OF,0,1,binary_declaration,unvalidated,Read supporting declarations; no functional equivalence implied.
fe6bd71b61d342c6fad4ce78,java.lang.String,java.lang.Iterable,ACCEPTS,0,1,binary_declaration,unvalidated,Read supporting declarations; no functional equivalence implied.
c721f8248977817fe2ab851d,java.lang.String,java.lang.Object,ACCEPTS,0,5,binary_declaration,unvalidated,Read supporting declarations; no functional equivalence implied.
f119fb52f346b8373598ff43,java.util.ArrayList,java.lang.Object,ACCEPTS,0,4,binary_declaration,unvalidated,Read supporting declarations; no functional equivalence implied.
b108eff30f7d2f87245f3e87,java.util.ArrayList,java.lang.Object,RETURNS,0,2,binary_declaration,unvalidated,Read supporting declarations; no functional equivalence implied.
f10d7f8a63c9283f26d118b5,java.util.ArrayList,java.util.Collection,ACCEPTS,0,5,binary_declaration,unvalidated,Read supporting declarations; no functional equivalence implied.
34922ec799c53c576d544b8c,java.util.ArrayList,java.util.Collections,COLLABORATES_WITH,1,2,model_reviewed_not_human_verified,unvalidated,Apply only within at least one cited operation/condition; not a universal relation.
bd154e858befa046292cd6cd,java.util.ArrayList,java.util.Comparator,ACCEPTS,0,1,binary_declaration,unvalidated,Read supporting declarations; no functional equivalence implied.
005834d162205a57f98ea4f4,java.util.ArrayList,java.util.HashSet,COLLABORATES_WITH,1,1,model_reviewed_not_human_verified,unvalidated,Apply only within at least one cited operation/condition; not a universal relation.
7b93aeb4a74080d909ed4f94,java.util.ArrayList,java.util.Iterator,RETURNS,0,1,binary_declaration,unvalidated,Read supporting declarations; no functional equivalence implied.
db0e8b2fdfe3418d7058acf2,java.util.ArrayList,java.util.LinkedHashSet,ALTERNATIVE_TO,1,1,model_reviewed_not_human_verified,unvalidated,Apply only within at least one cited operation/condition; not a universal relation.
733d647a492a773b809816e5,java.util.ArrayList,java.util.List,RETURNS,0,1,binary_declaration,unvalidated,Read supporting declarations; no functional equivalence implied.
950ae4bc93d3daa7603a0ceb,java.util.ArrayList,java.util.List,SUBTYPE_OF,0,1,binary_declaration,unvalidated,Read supporting declarations; no functional equivalence implied.
0ac7466ebf54ddc9c7f30526,java.util.ArrayList,java.util.Map.Entry,COLLABORATES_WITH,1,1,model_reviewed_not_human_verified,unvalidated,Apply only within at least one cited operation/condition; not a universal relation.
56db5c0da2acf6ea1ec7f1cf,java.util.Collection,java.lang.Iterable,SUBTYPE_OF,0,1,binary_declaration,unvalidated,Read supporting declarations; no functional equivalence implied.
1675c970188305092a383ff0,java.util.Collection,java.lang.Object,ACCEPTS,0,3,binary_declaration,unvalidated,Read supporting declarations; no functional equivalence implied.
e720383a87a37d51c2b571b8,java.util.Collection,java.lang.Object,RETURNS,0,1,binary_declaration,unvalidated,Read supporting declarations; no functional equivalence implied.
ea6e9a89e1981dc773d10314,java.util.Collection,java.util.Iterator,RETURNS,0,1,binary_declaration,unvalidated,Read supporting declarations; no functional equivalence implied.
