node_id,kind,ku_count,artifact,identity_status,evidence_file
java.lang.Comparable,interface,27,tmp\authoritative_artifacts\jdk8\extracted\jdk8u504-b01\jre\lib\rt.jar,input_resolved_binary_present,declarations/63d7c3f6f48eb22f12ba.txt
java.lang.Iterable,interface,23,tmp\authoritative_artifacts\jdk8\extracted\jdk8u504-b01\jre\lib\rt.jar,input_resolved_binary_present,declarations/61c8ef67997c76271566.txt
java.lang.Object,class,125,tmp\authoritative_artifacts\jdk8\extracted\jdk8u504-b01\jre\lib\rt.jar,input_resolved_binary_present,declarations/a6b9e0505186124241c7.txt
java.lang.String,class,241,tmp\authoritative_artifacts\jdk8\extracted\jdk8u504-b01\jre\lib\rt.jar,input_resolved_binary_present,declarations/73cc7ce309d9be85f1d2.txt
java.util.ArrayList,class,280,tmp\authoritative_artifacts\jdk8\extracted\jdk8u504-b01\jre\lib\rt.jar,input_resolved_binary_present,declarations/5098f415c102d794fe43.txt
java.util.Collection,interface,112,tmp\authoritative_artifacts\jdk8\extracted\jdk8u504-b01\jre\lib\rt.jar,input_resolved_binary_present,declarations/d7d466ccf1764e80ad0b.txt
java.util.Collections,class,141,tmp\authoritative_artifacts\jdk8\extracted\jdk8u504-b01\jre\lib\rt.jar,input_resolved_binary_present,declarations/7eca4add104a1979e62a.txt
java.util.Comparator,interface,82,tmp\authoritative_artifacts\jdk8\extracted\jdk8u504-b01\jre\lib\rt.jar,input_resolved_binary_present,declarations/702c79b2d89c9bdd9397.txt
java.util.Deque,interface,3,tmp\authoritative_artifacts\jdk8\extracted\jdk8u504-b01\jre\lib\rt.jar,input_resolved_binary_present,declarations/451fd09c30e250aa52a4.txt
java.util.HashMap,class,119,tmp\authoritative_artifacts\jdk8\extracted\jdk8u504-b01\jre\lib\rt.jar,input_resolved_binary_present,declarations/e78be4e4395c20448b95.txt
java.util.HashSet,class,101,tmp\authoritative_artifacts\jdk8\extracted\jdk8u504-b01\jre\lib\rt.jar,input_resolved_binary_present,declarations/2c81d5edd4938dfed569.txt
java.util.Iterator,interface,75,tmp\authoritative_artifacts\jdk8\extracted\jdk8u504-b01\jre\lib\rt.jar,input_resolved_binary_present,declarations/489a7b472f0bdfb5165e.txt
java.util.LinkedHashSet,class,12,tmp\authoritative_artifacts\jdk8\extracted\jdk8u504-b01\jre\lib\rt.jar,input_resolved_binary_present,declarations/9c245b0470296fea2202.txt
java.util.LinkedList,class,46,tmp\authoritative_artifacts\jdk8\extracted\jdk8u504-b01\jre\lib\rt.jar,input_resolved_binary_present,declarations/7455202c0ff2d7a77059.txt
java.util.List,interface,308,tmp\authoritative_artifacts\jdk8\extracted\jdk8u504-b01\jre\lib\rt.jar,input_resolved_binary_present,declarations/a0fb13f6304249a5d375.txt
java.util.Map,interface,143,tmp\authoritative_artifacts\jdk8\extracted\jdk8u504-b01\jre\lib\rt.jar,input_resolved_binary_present,declarations/792667ecf0251b77ca97.txt
java.util.Map.Entry,interface,40,tmp\authoritative_artifacts\jdk8\extracted\jdk8u504-b01\jre\lib\rt.jar,input_resolved_binary_present,declarations/fa0d3fb9ebbbdd60fb79.txt
java.util.NavigableMap,interface,4,tmp\authoritative_artifacts\jdk8\extracted\jdk8u504-b01\jre\lib\rt.jar,input_resolved_binary_present,declarations/dd3bacc6132846b6d230.txt
java.util.NavigableSet,interface,8,tmp\authoritative_artifacts\jdk8\extracted\jdk8u504-b01\jre\lib\rt.jar,input_resolved_binary_present,declarations/fba23554a19e6394bb6b.txt
java.util.PriorityQueue,class,3,tmp\authoritative_artifacts\jdk8\extracted\jdk8u504-b01\jre\lib\rt.jar,input_resolved_binary_present,declarations/040f7f630a5b7ed745ea.txt
java.util.Queue,interface,9,tmp\authoritative_artifacts\jdk8\extracted\jdk8u504-b01\jre\lib\rt.jar,input_resolved_binary_present,declarations/3dc0edcabc4ad81de19e.txt
java.util.Set,interface,119,tmp\authoritative_artifacts\jdk8\extracted\jdk8u504-b01\jre\lib\rt.jar,input_resolved_binary_present,declarations/46c7ba135e7e2e9f0b8d.txt
java.util.SortedMap,interface,4,tmp\authoritative_artifacts\jdk8\extracted\jdk8u504-b01\jre\lib\rt.jar,input_resolved_binary_present,declarations/76c30ed2cae603edaabe.txt
java.util.SortedSet,interface,11,tmp\authoritative_artifacts\jdk8\extracted\jdk8u504-b01\jre\lib\rt.jar,input_resolved_binary_present,declarations/6533a5e1624d47be42aa.txt
java.util.Stack,class,4,tmp\authoritative_artifacts\jdk8\extracted\jdk8u504-b01\jre\lib\rt.jar,input_resolved_binary_present,declarations/02001a67588a2a0ed951.txt
java.util.TreeMap,class,19,tmp\authoritative_artifacts\jdk8\extracted\jdk8u504-b01\jre\lib\rt.jar,input_resolved_binary_present,declarations/17077b5c664f4ea14d4d.txt
java.util.TreeSet,class,28,tmp\authoritative_artifacts\jdk8\extracted\jdk8u504-b01\jre\lib\rt.jar,input_resolved_binary_present,declarations/5237f9fff5e39e148d8e.txt
