edge_id,source,target,relation,symmetric,support_count,fact_status,retrieval_status,scope_policy
958b6d9521b41d7ea4b69578,org.joda.time.DateMidnight,org.joda.time.Chronology,ACCEPTS,0,6,binary_declaration,unvalidated,Read supporting declarations; no functional equivalence implied.
280a2f91fc023f1bd8c4031d,org.joda.time.DateMidnight,org.joda.time.Chronology,REQUIRES,0,1,model_reviewed_not_human_verified,unvalidated,Apply only within at least one cited operation/condition; not a universal relation.
4f1c05eb1e67fc2ea4b4770b,org.joda.time.DateMidnight,org.joda.time.Interval,CONVERTS_TO,0,1,model_reviewed_not_human_verified,unvalidated,Apply only within at least one cited operation/condition; not a universal relation.
53e09fddca243e089f322e0f,org.joda.time.DateMidnight,org.joda.time.Interval,RETURNS,0,1,binary_declaration,unvalidated,Read supporting declarations; no functional equivalence implied.
a734546c5e9a541a029363c2,org.joda.time.DateMidnight,org.joda.time.ReadableDuration,ACCEPTS,0,3,binary_declaration,unvalidated,Read supporting declarations; no functional equivalence implied.
27db886af28bc5f1b3423185,org.joda.time.DateMidnight,org.joda.time.format.DateTimeFormat,REQUIRES,0,3,bytecode_path_verified,unvalidated,"Joda 2.4 inherited toString(String pattern), only for non-null pattern: implementation calls DateTimeFormat.forPattern(pattern), then prints this instance with that formatter. Internal operation-scoped dependency, not a claim that callers must explicitly invoke DateTimeFormat."
f4599abc5c9ce3f66c27a160,org.joda.time.DateMidnight,org.joda.time.format.ISODateTimeFormat,REQUIRES,0,1,model_reviewed_not_human_verified,unvalidated,Apply only within at least one cited operation/condition; not a universal relation.
a732dcc3eef8d43d3c479a05,org.joda.time.DateTime,org.joda.time.Chronology,ACCEPTS,0,9,binary_declaration,unvalidated,Read supporting declarations; no functional equivalence implied.
43f9e5171136e7b6078bc84a,org.joda.time.DateTime,org.joda.time.Chronology,REQUIRES,0,1,model_reviewed_not_human_verified,unvalidated,Apply only within at least one cited operation/condition; not a universal relation.
d800445ffa654576c67ea88d,org.joda.time.DateTime,org.joda.time.DateMidnight,RETURNS,0,1,binary_declaration,unvalidated,Read supporting declarations; no functional equivalence implied.
fa74b1207e9dd1c41b69e588,org.joda.time.DateTime,org.joda.time.DateTime.Property,CREATES,0,1,bytecode_allocation_verified,unvalidated,Joda 2.4 DateTime.year() allocates and returns a fresh DateTime.Property bound to this DateTime; this existential factory fact does not assert every field-related operation allocates.
ea122331f473855375ce3a1b,org.joda.time.DateTime,org.joda.time.DateTime.Property,RETURNS,0,19,binary_declaration,unvalidated,Read supporting declarations; no functional equivalence implied.
a32aa12658ff4b0dbd2e6590,org.joda.time.DateTime,org.joda.time.Duration,COLLABORATES_WITH,1,1,model_reviewed_not_human_verified,unvalidated,Apply only within at least one cited operation/condition; not a universal relation.
d4725c52b9b2fa9a988a0665,org.joda.time.DateTime,org.joda.time.MutableDateTime,ALTERNATIVE_TO,1,1,model_reviewed_not_human_verified,unvalidated,Apply only within at least one cited operation/condition; not a universal relation.
