node_id,kind,ku_count,artifact,identity_status,evidence_file
org.joda.time.Chronology,class,3,tmp\fqn_audit\joda-time-2.4.jar,input_resolved_binary_present,declarations/d1c7c4af8fff44f40cc7.txt
org.joda.time.DateMidnight,class,2,tmp\fqn_audit\joda-time-2.4.jar,input_resolved_binary_present,declarations/76a9fd15572cdbd2d037.txt
org.joda.time.DateTime,class,32,tmp\fqn_audit\joda-time-2.4.jar,input_resolved_binary_present,declarations/74c7286dfe683d469b58.txt
org.joda.time.DateTime.Property,class,1,tmp\fqn_audit\joda-time-2.4.jar,input_resolved_binary_present,declarations/7ecdd1fb2fbf48265ce7.txt
org.joda.time.DateTimeConstants,class,4,tmp\fqn_audit\joda-time-2.4.jar,input_resolved_binary_present,declarations/f260dca71a3016419bdf.txt
org.joda.time.DateTimeUtils,class,1,tmp\fqn_audit\joda-time-2.4.jar,input_resolved_binary_present,declarations/ea20c3d075a38a14452f.txt
org.joda.time.Duration,class,3,tmp\fqn_audit\joda-time-2.4.jar,input_resolved_binary_present,declarations/6a7679b200fd26ff0acf.txt
org.joda.time.Instant,class,6,tmp\fqn_audit\joda-time-2.4.jar,input_resolved_binary_present,declarations/fcff3576bb34aa53323d.txt
org.joda.time.Interval,class,4,tmp\fqn_audit\joda-time-2.4.jar,input_resolved_binary_present,declarations/83157473d88f415c071f.txt
org.joda.time.JodaTimePermission,class,1,tmp\fqn_audit\joda-time-2.4.jar,input_resolved_binary_present,declarations/c941b3a9f74107ba2d4e.txt
org.joda.time.MutableDateTime,class,2,tmp\fqn_audit\joda-time-2.4.jar,input_resolved_binary_present,declarations/587efa22f358ac6e26a8.txt
org.joda.time.Period,class,4,tmp\fqn_audit\joda-time-2.4.jar,input_resolved_binary_present,declarations/df7c64bf9cdf2b090146.txt
org.joda.time.PeriodType,class,2,tmp\fqn_audit\joda-time-2.4.jar,input_resolved_binary_present,declarations/f55e004bec8288682a9d.txt
org.joda.time.ReadableDuration,interface,1,tmp\fqn_audit\joda-time-2.4.jar,input_resolved_binary_present,declarations/23b967e90e286122b579.txt
org.joda.time.ReadableInstant,interface,3,tmp\fqn_audit\joda-time-2.4.jar,input_resolved_binary_present,declarations/a1fefa142b76a6b5e340.txt
org.joda.time.chrono.ISOChronology,class,1,tmp\fqn_audit\joda-time-2.4.jar,input_resolved_binary_present,declarations/5298924702a64414623b.txt
org.joda.time.format.DateTimeFormat,class,6,tmp\fqn_audit\joda-time-2.4.jar,input_resolved_binary_present,declarations/211aa89352e556a42e78.txt
org.joda.time.format.ISODateTimeFormat,class,1,tmp\fqn_audit\joda-time-2.4.jar,input_resolved_binary_present,declarations/3dabf08cccb6f6ab5feb.txt
