node_id,kind,ku_count,artifact,identity_status,evidence_file
java.io.File,class,5,tmp\authoritative_artifacts\jdk8\extracted\jdk8u504-b01\jre\lib\rt.jar,input_resolved_binary_present,declarations/6f16374d950cc2dbbd28.txt
java.io.Serializable,interface,3,tmp\authoritative_artifacts\jdk8\extracted\jdk8u504-b01\jre\lib\rt.jar,input_resolved_binary_present,declarations/210d9b760f82d8aecba5.txt
java.lang.ClassCastException,class,10,tmp\authoritative_artifacts\jdk8\extracted\jdk8u504-b01\jre\lib\rt.jar,input_resolved_binary_present,declarations/70bb2ab83c695f91ba84.txt
java.lang.Integer,class,103,tmp\authoritative_artifacts\jdk8\extracted\jdk8u504-b01\jre\lib\rt.jar,input_resolved_binary_present,declarations/02db1e7879872909b044.txt
java.lang.Object,class,133,tmp\authoritative_artifacts\jdk8\extracted\jdk8u504-b01\jre\lib\rt.jar,input_resolved_binary_present,declarations/a6b9e0505186124241c7.txt
java.lang.String,class,245,tmp\authoritative_artifacts\jdk8\extracted\jdk8u504-b01\jre\lib\rt.jar,input_resolved_binary_present,declarations/73cc7ce309d9be85f1d2.txt
java.lang.UnsupportedOperationException,class,7,tmp\authoritative_artifacts\jdk8\extracted\jdk8u504-b01\jre\lib\rt.jar,input_resolved_binary_present,declarations/e32b27ababaf16b7066c.txt
java.math.BigInteger,class,2,tmp\authoritative_artifacts\jdk8\extracted\jdk8u504-b01\jre\lib\rt.jar,input_resolved_binary_present,declarations/84bf506ee660c2b4b5aa.txt
java.util.AbstractCollection,class,3,tmp\authoritative_artifacts\jdk8\extracted\jdk8u504-b01\jre\lib\rt.jar,input_resolved_binary_present,declarations/3110465d7ce5bed9c14a.txt
java.util.AbstractList,class,8,tmp\authoritative_artifacts\jdk8\extracted\jdk8u504-b01\jre\lib\rt.jar,input_resolved_binary_present,declarations/15ddd5a5ff0c096f5ff4.txt
java.util.AbstractMap,class,3,tmp\authoritative_artifacts\jdk8\extracted\jdk8u504-b01\jre\lib\rt.jar,input_resolved_binary_present,declarations/f43930135541db6725e7.txt
java.util.AbstractSet,class,3,tmp\authoritative_artifacts\jdk8\extracted\jdk8u504-b01\jre\lib\rt.jar,input_resolved_binary_present,declarations/eafeb8fd8836f660e0bb.txt
java.util.ArrayDeque,class,2,tmp\authoritative_artifacts\jdk8\extracted\jdk8u504-b01\jre\lib\rt.jar,input_resolved_binary_present,declarations/16634e93f4181a5d1901.txt
java.util.ArrayList,class,279,tmp\authoritative_artifacts\jdk8\extracted\jdk8u504-b01\jre\lib\rt.jar,input_resolved_binary_present,declarations/5098f415c102d794fe43.txt
java.util.Arrays,class,75,tmp\authoritative_artifacts\jdk8\extracted\jdk8u504-b01\jre\lib\rt.jar,input_resolved_binary_present,declarations/3d690c2f8044123cf85c.txt
java.util.Collection,interface,122,tmp\authoritative_artifacts\jdk8\extracted\jdk8u504-b01\jre\lib\rt.jar,input_resolved_binary_present,declarations/d7d466ccf1764e80ad0b.txt
java.util.Collections,class,144,tmp\authoritative_artifacts\jdk8\extracted\jdk8u504-b01\jre\lib\rt.jar,input_resolved_binary_present,declarations/7eca4add104a1979e62a.txt
java.util.Comparator,interface,72,tmp\authoritative_artifacts\jdk8\extracted\jdk8u504-b01\jre\lib\rt.jar,input_resolved_binary_present,declarations/702c79b2d89c9bdd9397.txt
java.util.ConcurrentModificationException,class,3,tmp\authoritative_artifacts\jdk8\extracted\jdk8u504-b01\jre\lib\rt.jar,input_resolved_binary_present,declarations/5e016c67141dc8a88616.txt
java.util.Deque,interface,4,tmp\authoritative_artifacts\jdk8\extracted\jdk8u504-b01\jre\lib\rt.jar,input_resolved_binary_present,declarations/451fd09c30e250aa52a4.txt
java.util.EnumSet,class,2,tmp\authoritative_artifacts\jdk8\extracted\jdk8u504-b01\jre\lib\rt.jar,input_resolved_binary_present,declarations/302d66ba42b2e2347cd9.txt
java.util.Enumeration,interface,8,tmp\authoritative_artifacts\jdk8\extracted\jdk8u504-b01\jre\lib\rt.jar,input_resolved_binary_present,declarations/4627f3e9a16e486457d1.txt
java.util.HashMap,class,128,tmp\authoritative_artifacts\jdk8\extracted\jdk8u504-b01\jre\lib\rt.jar,input_resolved_binary_present,declarations/e78be4e4395c20448b95.txt
java.util.HashSet,class,110,tmp\authoritative_artifacts\jdk8\extracted\jdk8u504-b01\jre\lib\rt.jar,input_resolved_binary_present,declarations/2c81d5edd4938dfed569.txt
java.util.Hashtable,class,8,tmp\authoritative_artifacts\jdk8\extracted\jdk8u504-b01\jre\lib\rt.jar,input_resolved_binary_present,declarations/d7429ad1d4b6731d0ac6.txt
java.util.IdentityHashMap,class,4,tmp\authoritative_artifacts\jdk8\extracted\jdk8u504-b01\jre\lib\rt.jar,input_resolved_binary_present,declarations/0f49907adfed1ea69f61.txt
java.util.LinkedHashMap,class,16,tmp\authoritative_artifacts\jdk8\extracted\jdk8u504-b01\jre\lib\rt.jar,input_resolved_binary_present,declarations/ac58e215437948051154.txt
java.util.LinkedHashSet,class,9,tmp\authoritative_artifacts\jdk8\extracted\jdk8u504-b01\jre\lib\rt.jar,input_resolved_binary_present,declarations/9c245b0470296fea2202.txt
java.util.LinkedList,class,50,tmp\authoritative_artifacts\jdk8\extracted\jdk8u504-b01\jre\lib\rt.jar,input_resolved_binary_present,declarations/7455202c0ff2d7a77059.txt
java.util.List,interface,299,tmp\authoritative_artifacts\jdk8\extracted\jdk8u504-b01\jre\lib\rt.jar,input_resolved_binary_present,declarations/a0fb13f6304249a5d375.txt
java.util.ListIterator,interface,10,tmp\authoritative_artifacts\jdk8\extracted\jdk8u504-b01\jre\lib\rt.jar,input_resolved_binary_present,declarations/dcffdd810782a4690717.txt
java.util.Map,interface,149,tmp\authoritative_artifacts\jdk8\extracted\jdk8u504-b01\jre\lib\rt.jar,input_resolved_binary_present,declarations/792667ecf0251b77ca97.txt
java.util.PriorityQueue,class,5,tmp\authoritative_artifacts\jdk8\extracted\jdk8u504-b01\jre\lib\rt.jar,input_resolved_binary_present,declarations/040f7f630a5b7ed745ea.txt
java.util.Queue,interface,14,tmp\authoritative_artifacts\jdk8\extracted\jdk8u504-b01\jre\lib\rt.jar,input_resolved_binary_present,declarations/3dc0edcabc4ad81de19e.txt
java.util.Random,class,8,tmp\authoritative_artifacts\jdk8\extracted\jdk8u504-b01\jre\lib\rt.jar,input_resolved_binary_present,declarations/2d4b89ebc904f1cec1cb.txt
java.util.Set,interface,122,tmp\authoritative_artifacts\jdk8\extracted\jdk8u504-b01\jre\lib\rt.jar,input_resolved_binary_present,declarations/46c7ba135e7e2e9f0b8d.txt
java.util.SortedMap,interface,5,tmp\authoritative_artifacts\jdk8\extracted\jdk8u504-b01\jre\lib\rt.jar,input_resolved_binary_present,declarations/76c30ed2cae603edaabe.txt
java.util.SortedSet,interface,11,tmp\authoritative_artifacts\jdk8\extracted\jdk8u504-b01\jre\lib\rt.jar,input_resolved_binary_present,declarations/6533a5e1624d47be42aa.txt
java.util.TreeMap,class,21,tmp\authoritative_artifacts\jdk8\extracted\jdk8u504-b01\jre\lib\rt.jar,input_resolved_binary_present,declarations/17077b5c664f4ea14d4d.txt
java.util.TreeSet,class,30,tmp\authoritative_artifacts\jdk8\extracted\jdk8u504-b01\jre\lib\rt.jar,input_resolved_binary_present,declarations/5237f9fff5e39e148d8e.txt
java.util.Vector,class,15,tmp\authoritative_artifacts\jdk8\extracted\jdk8u504-b01\jre\lib\rt.jar,input_resolved_binary_present,declarations/d33f70967071df36da4e.txt
java.util.concurrent.ArrayBlockingQueue,class,2,tmp\authoritative_artifacts\jdk8\extracted\jdk8u504-b01\jre\lib\rt.jar,input_resolved_binary_present,declarations/65cc8d65742d8aa29b5a.txt
java.util.concurrent.BlockingQueue,interface,4,tmp\authoritative_artifacts\jdk8\extracted\jdk8u504-b01\jre\lib\rt.jar,input_resolved_binary_present,declarations/a52687868e9268a6fd9a.txt
java.util.concurrent.ConcurrentHashMap,class,11,tmp\authoritative_artifacts\jdk8\extracted\jdk8u504-b01\jre\lib\rt.jar,input_resolved_binary_present,declarations/48031e8c20570051ce6e.txt
java.util.concurrent.ConcurrentMap,interface,6,tmp\authoritative_artifacts\jdk8\extracted\jdk8u504-b01\jre\lib\rt.jar,input_resolved_binary_present,declarations/f5dc8923b5e724bdc903.txt
java.util.concurrent.CopyOnWriteArrayList,class,2,tmp\authoritative_artifacts\jdk8\extracted\jdk8u504-b01\jre\lib\rt.jar,input_resolved_binary_present,declarations/2561c09dbab97a229cd6.txt
java.util.concurrent.CopyOnWriteArraySet,class,1,tmp\authoritative_artifacts\jdk8\extracted\jdk8u504-b01\jre\lib\rt.jar,input_resolved_binary_present,declarations/fd430440db3c094263bf.txt
java.util.concurrent.DelayQueue,class,1,tmp\authoritative_artifacts\jdk8\extracted\jdk8u504-b01\jre\lib\rt.jar,input_resolved_binary_present,declarations/feefe27e611f395418e7.txt
java.util.concurrent.LinkedBlockingDeque,class,2,tmp\authoritative_artifacts\jdk8\extracted\jdk8u504-b01\jre\lib\rt.jar,input_resolved_binary_present,declarations/ef79f1b7cefa0919cd43.txt
java.util.concurrent.LinkedBlockingQueue,class,1,tmp\authoritative_artifacts\jdk8\extracted\jdk8u504-b01\jre\lib\rt.jar,input_resolved_binary_present,declarations/10f0ad1bd02139b9d6ee.txt
