edge_id,source,target,relation,symmetric,support_count,fact_status,retrieval_status,scope_policy
a11b14c6410bb7d75cf194f8,android.animation.Animator,java.lang.Object,ACCEPTS,0,1,binary_declaration,unvalidated,Read supporting declarations; no functional equivalence implied.
17d746f8ce52b016bd667f07,android.animation.Animator,java.lang.Object,RETURNS,0,1,binary_declaration,unvalidated,Read supporting declarations; no functional equivalence implied.
0ff5e13493016cbfd7f68d79,android.animation.AnimatorInflater,android.animation.Animator,RETURNS,0,1,binary_declaration,unvalidated,Read supporting declarations; no functional equivalence implied.
d038b87e268fa3b2c9fac107,android.animation.AnimatorInflater,android.content.Context,ACCEPTS,0,1,binary_declaration,unvalidated,Read supporting declarations; no functional equivalence implied.
668fdc097b92bccde811f17d,android.animation.AnimatorInflater,android.content.Context,REQUIRES,0,1,model_reviewed_not_human_verified,unvalidated,Apply only within at least one cited operation/condition; not a universal relation.
3e05a343fa5d4adcbaa138dd,android.animation.AnimatorSet,android.animation.Animator,ACCEPTS,0,3,binary_declaration,unvalidated,Read supporting declarations; no functional equivalence implied.
1319dd2c7de4076c53d0e34c,android.animation.AnimatorSet,android.animation.Animator,RETURNS,0,2,binary_declaration,unvalidated,Read supporting declarations; no functional equivalence implied.
a72a70efa40af5d229bcf371,android.animation.AnimatorSet,android.animation.Animator,SUBTYPE_OF,0,1,binary_declaration,unvalidated,Read supporting declarations; no functional equivalence implied.
b75eba3a6d55c14bebdb5c6a,android.animation.AnimatorSet,android.animation.ObjectAnimator,COLLABORATES_WITH,1,2,model_reviewed_not_human_verified,unvalidated,Apply only within at least one cited operation/condition; not a universal relation.
92d3770e2d2012bce21db1f9,android.animation.AnimatorSet,android.animation.ValueAnimator,COLLABORATES_WITH,1,2,model_reviewed_not_human_verified,unvalidated,Apply only within at least one cited operation/condition; not a universal relation.
9f5e33b4337ee485bb4dc166,android.animation.AnimatorSet,android.view.View,COLLABORATES_WITH,1,1,model_reviewed_not_human_verified,unvalidated,Apply only within at least one cited operation/condition; not a universal relation.
458b06bd1c6ce7b0e0dd8c97,android.animation.AnimatorSet,java.lang.Object,ACCEPTS,0,1,binary_declaration,unvalidated,Read supporting declarations; no functional equivalence implied.
41e4da3223d2b77a922dc60d,android.animation.AnimatorSet,java.lang.Object,RETURNS,0,1,binary_declaration,unvalidated,Read supporting declarations; no functional equivalence implied.
