edge_id,source,target,relation,symmetric,support_count,fact_status,retrieval_status,scope_policy
6697107b1c631173aa3c40ba,org.jivesoftware.smack.Chat,org.jivesoftware.smack.PacketCollector,RETURNS,0,1,binary_declaration,unvalidated,Read supporting declarations; no functional equivalence implied.
c72a94ec84a38b1525ac403c,org.jivesoftware.smack.Chat,org.jivesoftware.smackx.XHTMLManager,COLLABORATES_WITH,1,1,model_reviewed_not_human_verified,unvalidated,Apply only within at least one cited operation/condition; not a universal relation.
0cd669ce27e8ea17252d52ae,org.jivesoftware.smack.Connection,org.jivesoftware.smack.PacketCollector,RETURNS,0,1,binary_declaration,unvalidated,Read supporting declarations; no functional equivalence implied.
86616286522e5571ef2b8b2a,org.jivesoftware.smack.Connection,org.jivesoftware.smack.PacketListener,ACCEPTS,0,4,binary_declaration,unvalidated,Read supporting declarations; no functional equivalence implied.
846cfe30ebd7ed7e5143b4b5,org.jivesoftware.smack.Connection,org.jivesoftware.smack.Roster,RETURNS,0,1,binary_declaration,unvalidated,Read supporting declarations; no functional equivalence implied.
3c31d2d76c41986a428ea32b,org.jivesoftware.smack.Connection,org.jivesoftware.smack.filter.PacketFilter,ACCEPTS,0,4,binary_declaration,unvalidated,Read supporting declarations; no functional equivalence implied.
93288531b74bea277de2500c,org.jivesoftware.smack.PacketCollector,org.jivesoftware.smack.filter.PacketFilter,RETURNS,0,1,binary_declaration,unvalidated,Read supporting declarations; no functional equivalence implied.
a013ae64fcd6af1f8efbcbd7,org.jivesoftware.smack.PacketListener,org.jivesoftware.smack.filter.PacketFilter,COLLABORATES_WITH,1,1,model_reviewed_not_human_verified,unvalidated,Apply only within at least one cited operation/condition; not a universal relation.
4dc2f99ad9a2e46f2c84bb75,org.jivesoftware.smack.PacketListener,org.jivesoftware.smack.filter.PacketFilter,REQUIRES,0,1,model_reviewed_not_human_verified,unvalidated,Apply only within at least one cited operation/condition; not a universal relation.
ff8f1ac609bd501516f729db,org.jivesoftware.smack.Roster,org.jivesoftware.smack.Connection,REQUIRES,0,1,model_reviewed_not_human_verified,unvalidated,Apply only within at least one cited operation/condition; not a universal relation.
89f0b8a9793e624221a9e1b0,org.jivesoftware.smackx.DefaultMessageEventRequestListener,org.jivesoftware.smackx.MessageEventManager,ACCEPTS,0,4,binary_declaration,unvalidated,Read supporting declarations; no functional equivalence implied.
b86244deb6a182930fc25c40,org.jivesoftware.smackx.DefaultMessageEventRequestListener,org.jivesoftware.smackx.MessageEventManager,COLLABORATES_WITH,1,3,model_reviewed_not_human_verified,unvalidated,Apply only within at least one cited operation/condition; not a universal relation.
71fafaa453d42093e0b46a92,org.jivesoftware.smackx.DefaultMessageEventRequestListener,org.jivesoftware.smackx.MessageEventRequestListener,SUBTYPE_OF,0,1,binary_declaration,unvalidated,Read supporting declarations; no functional equivalence implied.
