node_id,kind,ku_count,artifact,identity_status,evidence_file
org.jivesoftware.smack.Chat,class,3,tmp\authoritative_artifacts\smack\smack-all-3.2.1.jar,input_resolved_binary_present,declarations/329738bbbac0759e0773.txt
org.jivesoftware.smack.Connection,class,3,tmp\authoritative_artifacts\smack\smack-all-3.2.1.jar,input_resolved_binary_present,declarations/0927744c1caa74941008.txt
org.jivesoftware.smack.PacketCollector,class,1,tmp\authoritative_artifacts\smack\smack-all-3.2.1.jar,input_resolved_binary_present,declarations/dbdb4ae68e3f5c3769c6.txt
org.jivesoftware.smack.PacketListener,interface,2,tmp\authoritative_artifacts\smack\smack-all-3.2.1.jar,input_resolved_binary_present,declarations/5c73a05bed2a3457bfdc.txt
org.jivesoftware.smack.Roster,class,1,tmp\authoritative_artifacts\smack\smack-all-3.2.1.jar,input_resolved_binary_present,declarations/f708e54b97f57d36aae5.txt
org.jivesoftware.smack.filter.PacketFilter,interface,2,tmp\authoritative_artifacts\smack\smack-all-3.2.1.jar,input_resolved_binary_present,declarations/4a35b9ce1a14746b60b6.txt
org.jivesoftware.smack.packet.PacketExtension,interface,1,tmp\authoritative_artifacts\smack\smack-all-3.2.1.jar,input_resolved_binary_present,declarations/1505e2fed96e61766c70.txt
org.jivesoftware.smack.provider.IQProvider,interface,1,tmp\authoritative_artifacts\smack\smack-all-3.2.1.jar,input_resolved_binary_present,declarations/483bc72888b46ea16054.txt
org.jivesoftware.smackx.DefaultMessageEventRequestListener,class,2,tmp\authoritative_artifacts\smack\smack-all-3.2.1.jar,input_resolved_binary_present,declarations/48c2ad755dd72d54b652.txt
org.jivesoftware.smackx.Form,class,5,tmp\authoritative_artifacts\smack\smack-all-3.2.1.jar,input_resolved_binary_present,declarations/468198d99a72453d9050.txt
org.jivesoftware.smackx.FormField,class,2,tmp\authoritative_artifacts\smack\smack-all-3.2.1.jar,input_resolved_binary_present,declarations/5b5910719afb2f7872bf.txt
org.jivesoftware.smackx.MessageEventManager,class,3,tmp\authoritative_artifacts\smack\smack-all-3.2.1.jar,input_resolved_binary_present,declarations/0e239c731dd1125f1075.txt
org.jivesoftware.smackx.MessageEventRequestListener,interface,1,tmp\authoritative_artifacts\smack\smack-all-3.2.1.jar,input_resolved_binary_present,declarations/2728d82cc5d90d24ee5b.txt
org.jivesoftware.smackx.NodeInformationProvider,interface,1,tmp\authoritative_artifacts\smack\smack-all-3.2.1.jar,input_resolved_binary_present,declarations/5a1e92f0ee7a0cc9ae15.txt
