node_id,kind,ku_count,artifact,identity_status,evidence_file
android.app.Service,class,5,tmp\authoritative_artifacts\android\android-4.1.1.4.jar,input_resolved_binary_present,declarations/ec0133e240b0d7b4e41b.txt
android.content.ClipData,class,1,tmp\authoritative_artifacts\android\android-4.1.1.4.jar,input_resolved_binary_present,declarations/5cc66ad6e7ec7086bee9.txt
android.content.ClipData.Item,class,2,tmp\authoritative_artifacts\android\android-4.1.1.4.jar,input_resolved_binary_present,declarations/9120b6e6b9c93b82cf07.txt
android.content.ClipDescription,class,1,tmp\authoritative_artifacts\android\android-4.1.1.4.jar,input_resolved_binary_present,declarations/ffadc716741c56d5cef3.txt
android.content.ClipboardManager,class,3,tmp\authoritative_artifacts\android\android-4.1.1.4.jar,input_resolved_binary_present,declarations/f68b4605ca635113a912.txt
android.content.ContentResolver,class,1,tmp\authoritative_artifacts\android\android-4.1.1.4.jar,input_resolved_binary_present,declarations/36a356fb9c86e592a29b.txt
android.content.Context,class,30,tmp\authoritative_artifacts\android\android-4.1.1.4.jar,input_resolved_binary_present,declarations/80e948f43db8a9452a32.txt
android.content.Intent,class,22,tmp\authoritative_artifacts\android\android-4.1.1.4.jar,input_resolved_binary_present,declarations/78a44fd45b49b8e662fb.txt
android.database.Cursor,interface,1,tmp\authoritative_artifacts\android\android-4.1.1.4.jar,input_resolved_binary_present,declarations/c33c3bf4a2c536ed2b1c.txt
android.inputmethodservice.InputMethodService,class,1,tmp\authoritative_artifacts\android\android-4.1.1.4.jar,input_resolved_binary_present,declarations/4b39d6355a115fe2b5dc.txt
android.inputmethodservice.Keyboard,class,2,tmp\authoritative_artifacts\android\android-4.1.1.4.jar,input_resolved_binary_present,declarations/4113a139c1f5683d9100.txt
android.inputmethodservice.KeyboardView,class,1,tmp\authoritative_artifacts\android\android-4.1.1.4.jar,input_resolved_binary_present,declarations/99ad5a6313b575f09c82.txt
android.net.Uri,class,3,tmp\authoritative_artifacts\android\android-4.1.1.4.jar,input_resolved_binary_present,declarations/e16217a3f5ba36e1d9a4.txt
android.service.textservice.SpellCheckerService,class,1,tmp\authoritative_artifacts\android\android-4.1.1.4.jar,input_resolved_binary_present,declarations/e7f28ddf8f29941e365e.txt
android.service.textservice.SpellCheckerService.Session,class,1,tmp\authoritative_artifacts\android\android-4.1.1.4.jar,input_resolved_binary_present,declarations/e574c0fa4ecef4c95cca.txt
android.text.InputType,interface,8,tmp\authoritative_artifacts\android\android-4.1.1.4.jar,input_resolved_binary_present,declarations/b5acf8a05abbb5e802e8.txt
android.view.KeyEvent,class,9,tmp\authoritative_artifacts\android\android-4.1.1.4.jar,input_resolved_binary_present,declarations/325097faca65b068bdf9.txt
android.view.View,class,83,tmp\authoritative_artifacts\android\android-4.1.1.4.jar,input_resolved_binary_present,declarations/902b2f738c5a9733681b.txt
android.view.inputmethod.BaseInputConnection,class,1,tmp\authoritative_artifacts\android\android-4.1.1.4.jar,input_resolved_binary_present,declarations/27242e005e763f411b21.txt
android.view.inputmethod.EditorInfo,class,3,tmp\authoritative_artifacts\android\android-4.1.1.4.jar,input_resolved_binary_present,declarations/aed9047a0c1b7d42bd7f.txt
android.view.inputmethod.InputConnection,interface,1,tmp\authoritative_artifacts\android\android-4.1.1.4.jar,input_resolved_binary_present,declarations/55ea4cd7d6b2945a4fe8.txt
android.view.inputmethod.InputMethod,interface,1,tmp\authoritative_artifacts\android\android-4.1.1.4.jar,input_resolved_binary_present,declarations/9ae1837428cfa5c38bd4.txt
android.view.textservice.SentenceSuggestionsInfo,class,1,tmp\authoritative_artifacts\android\android-4.1.1.4.jar,input_resolved_binary_present,declarations/fcee1c6c384aa91619b2.txt
android.widget.TextView,class,61,tmp\authoritative_artifacts\android\android-4.1.1.4.jar,input_resolved_binary_present,declarations/d1509ef30186fa2549aa.txt
java.lang.CharSequence,interface,22,tmp\authoritative_artifacts\jdk8\extracted\jdk8u504-b01\jre\lib\rt.jar,input_resolved_binary_present,declarations/e2042a47d8b15824c8f1.txt
